date,revenue,purchases,unique_streams,unique_customers,total_views,country
2018-05-24,6153.85,98,934,77,11018,United Kingdom
2018-05-25,5468.29,95,734,68,6482,United Kingdom
2018-05-26,0.0,0,0,0,0,United Kingdom
2018-05-27,2337.37,35,567,30,3490,United Kingdom
2018-05-28,0.0,0,0,0,0,United Kingdom
2018-05-29,4071.32,51,753,33,5489,United Kingdom
2018-05-30,3502.44,51,675,37,4182,United Kingdom
2018-05-31,6816.82,103,905,72,7012,United Kingdom
2018-06-01,7299.42,137,872,27,4892,United Kingdom
2018-06-02,0.0,0,0,0,0,United Kingdom
2018-06-03,6764.76,74,966,61,9608,United Kingdom
2018-06-04,8954.32,112,1135,82,11334,United Kingdom
2018-06-05,12330.66,117,1060,64,9060,United Kingdom
2018-06-06,4410.74,91,776,67,8113,United Kingdom
2018-06-07,4264.29,94,588,78,5889,United Kingdom
2018-06-08,14424.21,97,886,65,8786,United Kingdom
2018-06-09,0.0,0,0,0,0,United Kingdom
2018-06-10,4506.11,75,817,58,6925,United Kingdom
2018-06-11,4900.65,69,871,57,6378,United Kingdom
2018-06-12,7137.5,76,829,46,7404,United Kingdom
2018-06-13,5924.24,90,944,71,9718,United Kingdom
2018-06-14,73083.8,94,791,69,7966,United Kingdom
2018-06-15,3857.42,64,576,49,4638,United Kingdom
2018-06-16,0.0,0,0,0,0,United Kingdom
2018-06-17,1479.58,25,322,24,1918,United Kingdom
2018-06-18,5719.77,51,1001,39,8244,United Kingdom
2018-06-19,3678.93,39,621,31,4418,United Kingdom
2018-06-20,3835.27,63,700,49,6070,United Kingdom
2018-06-21,9230.8,109,704,62,5790,United Kingdom
2018-06-22,5363.1,50,771,37,5574,United Kingdom
2018-06-23,0.0,0,0,0,0,United Kingdom
2018-06-24,4090.03,62,757,52,5620,United Kingdom
2018-06-25,5522.65,67,819,58,7833,United Kingdom
2018-06-26,5363.01,76,844,50,8502,United Kingdom
2018-06-27,6313.76,131,879,102,8342,United Kingdom
2018-06-28,5644.25,91,858,75,9809,United Kingdom
2018-06-29,2394.38,48,510,35,4419,United Kingdom
2018-06-30,0.0,0,0,0,0,United Kingdom
2018-07-01,2172.02,22,463,20,2597,United Kingdom
2018-07-02,5885.34,117,734,75,10024,United Kingdom
2018-07-03,4163.88,55,641,44,5330,United Kingdom
2018-07-04,9569.28,92,875,52,7076,United Kingdom
2018-07-05,3917.24,90,759,60,6878,United Kingdom
2018-07-06,3522.07,49,563,29,3619,United Kingdom
2018-07-07,0.0,0,0,0,0,United Kingdom
2018-07-08,2014.57,29,497,24,2507,United Kingdom
2018-07-09,5137.74,63,707,39,5138,United Kingdom
2018-07-10,4308.27,59,691,38,4276,United Kingdom
2018-07-11,4824.88,98,754,77,5522,United Kingdom
2018-07-12,10159.05,98,826,58,8774,United Kingdom
2018-07-13,4064.99,123,727,77,6662,United Kingdom
2018-07-14,0.0,0,0,0,0,United Kingdom
2018-07-15,2775.94,41,562,36,4105,United Kingdom
2018-07-16,4915.15,59,748,52,7703,United Kingdom
2018-07-17,3963.52,61,645,49,6479,United Kingdom
2018-07-18,5531.46,78,718,62,6491,United Kingdom
2018-07-19,7240.01,101,813,62,7274,United Kingdom
2018-07-20,3146.41,50,627,38,5250,United Kingdom
2018-07-21,0.0,0,0,0,0,United Kingdom
2018-07-22,3769.22,52,724,46,6765,United Kingdom
2018-07-23,5576.61,68,787,51,7962,United Kingdom
2018-07-24,3042.94,76,588,55,5596,United Kingdom
2018-07-25,3877.41,82,698,71,7794,United Kingdom
2018-07-26,10995.02,93,899,73,8219,United Kingdom
2018-07-27,2930.56,63,486,46,4239,United Kingdom
2018-07-28,0.0,0,0,0,0,United Kingdom
2018-07-29,2680.6,39,583,30,4075,United Kingdom
2018-07-30,6384.54,70,693,47,6780,United Kingdom
2018-07-31,7907.27,80,841,57,6577,United Kingdom
2018-08-01,6055.96,61,837,52,7286,United Kingdom
2018-08-02,3275.16,69,724,54,7436,United Kingdom
2018-08-03,1793.14,56,393,39,4060,United Kingdom
2018-08-04,0.0,0,0,0,0,United Kingdom
2018-08-05,2412.04,46,566,40,4387,United Kingdom
2018-08-06,2308.16,70,550,43,4944,United Kingdom
2018-08-07,7250.5,52,915,36,5971,United Kingdom
2018-08-08,5352.82,47,629,34,4582,United Kingdom
2018-08-09,8146.17,155,944,79,9517,United Kingdom
2018-08-10,5685.5,100,783,42,7726,United Kingdom
2018-08-11,0.0,0,0,0,0,United Kingdom
2018-08-12,2800.53,59,572,50,5583,United Kingdom
2018-08-13,3436.09,70,628,36,4792,United Kingdom
2018-08-14,2930.61,63,604,53,5958,United Kingdom
2018-08-15,4997.88,59,932,45,7837,United Kingdom
2018-08-16,5054.81,75,746,55,7197,United Kingdom
2018-08-17,3783.76,53,717,42,6231,United Kingdom
2018-08-18,0.0,0,0,0,0,United Kingdom
2018-08-19,3692.96,59,737,49,7736,United Kingdom
2018-08-20,3179.34,56,657,42,6675,United Kingdom
2018-08-21,3464.15,68,677,57,7168,United Kingdom
2018-08-22,5949.01,98,840,66,9232,United Kingdom
2018-08-23,6722.11,93,806,63,8545,United Kingdom
2018-08-24,26367.28,46,611,28,4250,United Kingdom
2018-08-25,0.0,0,0,0,0,United Kingdom
2018-08-26,2277.05,40,484,36,5019,United Kingdom
2018-08-27,0.0,0,0,0,0,United Kingdom
2018-08-28,6188.16,61,867,42,7026,United Kingdom
2018-08-29,3394.43,68,544,58,3565,United Kingdom
2018-08-30,4552.87,84,818,69,8301,United Kingdom
2018-08-31,3805.34,72,638,54,5382,United Kingdom
2018-09-01,0.0,0,0,0,0,United Kingdom
2018-09-02,1964.43,32,473,31,3756,United Kingdom
2018-09-03,5679.21,60,779,36,5587,United Kingdom
2018-09-04,3708.6,50,683,43,5886,United Kingdom
2018-09-05,3280.8,56,645,40,5725,United Kingdom
2018-09-06,6417.63,90,801,62,6740,United Kingdom
2018-09-07,3611.81,47,607,37,5416,United Kingdom
2018-09-08,0.0,0,0,0,0,United Kingdom
2018-09-09,3487.13,47,699,44,5738,United Kingdom
2018-09-10,7571.23,102,976,63,8942,United Kingdom
2018-09-11,3652.93,57,728,49,6608,United Kingdom
2018-09-12,3658.75,83,745,51,6860,United Kingdom
2018-09-13,30306.98,109,825,63,7739,United Kingdom
2018-09-14,4241.68,76,669,56,5578,United Kingdom
2018-09-15,0.0,0,0,0,0,United Kingdom
2018-09-16,4897.92,59,976,53,8857,United Kingdom
2018-09-17,8357.1,88,917,55,9015,United Kingdom
2018-09-18,6838.65,130,978,96,14748,United Kingdom
2018-09-19,5354.5,96,663,36,8122,United Kingdom
2018-09-20,5518.34,95,933,70,12392,United Kingdom
2018-09-21,9114.94,80,758,45,7617,United Kingdom
2018-09-22,0.0,0,0,0,0,United Kingdom
2018-09-23,4126.78,74,755,57,8298,United Kingdom
2018-09-24,38866.13,97,983,67,13201,United Kingdom
2018-09-25,9898.13,163,1166,114,14624,United Kingdom
2018-09-26,6000.64,121,964,82,12230,United Kingdom
2018-09-27,13935.96,107,916,78,11731,United Kingdom
2018-09-28,6467.66,74,875,55,8108,United Kingdom
2018-09-29,0.0,0,0,0,0,United Kingdom
2018-09-30,6264.55,81,896,64,9655,United Kingdom
2018-10-01,6826.24,90,969,72,12195,United Kingdom
2018-10-02,62389.42,194,1148,132,17336,United Kingdom
2018-10-03,3789.14,67,688,58,8855,United Kingdom
2018-10-04,13648.94,153,1316,109,16804,United Kingdom
2018-10-05,6856.42,89,984,66,10790,United Kingdom
2018-10-06,0.0,0,0,0,0,United Kingdom
2018-10-07,4965.84,67,845,55,7920,United Kingdom
2018-10-08,6904.98,116,1084,84,12115,United Kingdom
2018-10-09,7795.75,135,1117,106,13684,United Kingdom
2018-10-10,14529.43,90,961,73,10250,United Kingdom
2018-10-11,6067.71,109,935,82,11612,United Kingdom
2018-10-12,28317.05,129,1038,77,11718,United Kingdom
2018-10-13,0.0,0,0,0,0,United Kingdom
2018-10-14,7144.36,79,1117,63,12273,United Kingdom
2018-10-15,10513.52,168,1214,107,11632,United Kingdom
2018-10-16,8163.79,87,1059,66,10621,United Kingdom
2018-10-17,9075.44,112,1077,85,12641,United Kingdom
2018-10-18,7054.32,102,1007,79,9918,United Kingdom
2018-10-19,8934.32,128,1084,84,9139,United Kingdom
2018-10-20,0.0,0,0,0,0,United Kingdom
2018-10-21,6541.68,82,1008,71,10484,United Kingdom
2018-10-22,5507.96,98,989,71,9105,United Kingdom
2018-10-23,6769.55,116,1045,95,11470,United Kingdom
2018-10-24,5226.44,70,860,58,7381,United Kingdom
2018-10-25,6386.01,103,855,58,6666,United Kingdom
2018-10-26,6354.68,84,929,60,10204,United Kingdom
2018-10-27,0.0,0,0,0,0,United Kingdom
2018-10-28,7117.22,85,1130,76,11292,United Kingdom
2018-10-29,9236.29,101,1131,51,9010,United Kingdom
2018-10-30,7495.21,165,1067,95,11461,United Kingdom
2018-10-31,6447.26,132,1002,80,8773,United Kingdom
2018-11-01,13004.3,207,1385,127,17904,United Kingdom
2018-11-02,6178.0,124,968,56,7686,United Kingdom
2018-11-03,0.0,0,0,0,0,United Kingdom
2018-11-04,7150.2,86,1086,71,12983,United Kingdom
2018-11-05,22703.78,112,1205,69,11830,United Kingdom
2018-11-06,11110.27,140,1068,100,14567,United Kingdom
2018-11-07,11695.84,141,1440,103,14998,United Kingdom
2018-11-08,12021.83,185,1266,131,15651,United Kingdom
2018-11-09,11659.56,105,1236,75,11315,United Kingdom
2018-11-10,0.0,0,0,0,0,United Kingdom
2018-11-11,7822.27,91,1211,74,10428,United Kingdom
2018-11-12,12879.15,122,1351,80,13872,United Kingdom
2018-11-13,9758.69,137,1297,118,14812,United Kingdom
2018-11-14,10549.22,124,1264,95,13765,United Kingdom
2018-11-15,10255.12,110,1194,91,12793,United Kingdom
2018-11-16,8076.43,128,1072,100,10601,United Kingdom
2018-11-17,0.0,0,0,0,0,United Kingdom
2018-11-18,8051.38,92,1255,82,13041,United Kingdom
2018-11-19,11835.21,96,1283,76,11938,United Kingdom
2018-11-20,12960.08,160,1353,110,16437,United Kingdom
2018-11-21,13322.54,181,1324,138,14611,United Kingdom
2018-11-22,11371.32,177,1237,145,18242,United Kingdom
2018-11-23,8818.06,86,1087,60,10067,United Kingdom
2018-11-24,0.0,0,0,0,0,United Kingdom
2018-11-25,7283.93,101,1109,80,9122,United Kingdom
2018-11-26,15317.02,112,1480,81,15483,United Kingdom
2018-11-27,7069.06,157,927,131,13241,United Kingdom
2018-11-28,12793.36,135,1326,91,15239,United Kingdom
2018-11-29,7285.03,163,933,113,16681,United Kingdom
2018-11-30,10742.52,94,1111,42,9963,United Kingdom
2018-12-01,0.0,0,0,0,0,United Kingdom
2018-12-02,7204.37,86,1088,70,10397,United Kingdom
2018-12-03,17834.16,126,1473,85,16923,United Kingdom
2018-12-04,125509.69,107,1276,66,13437,United Kingdom
2018-12-05,10367.58,141,1202,105,15303,United Kingdom
2018-12-06,14184.88,167,1248,107,13059,United Kingdom
2018-12-07,12233.93,86,1243,50,10524,United Kingdom
2018-12-08,0.0,0,0,0,0,United Kingdom
2018-12-09,3688.29,50,767,41,4986,United Kingdom
2018-12-10,12225.19,80,1166,59,10524,United Kingdom
2018-12-11,7957.01,138,993,100,10742,United Kingdom
2018-12-12,4631.76,94,728,82,8348,United Kingdom
2018-12-13,5767.79,143,923,113,12092,United Kingdom
2018-12-14,16813.75,52,1308,35,7581,United Kingdom
2018-12-15,0.0,0,0,0,0,United Kingdom
2018-12-16,1376.86,23,361,15,2107,United Kingdom
2018-12-17,7542.67,87,906,52,6081,United Kingdom
2018-12-18,11836.75,60,780,26,4303,United Kingdom
2018-12-19,1908.67,20,212,15,1283,United Kingdom
2018-12-20,3568.7,33,733,19,3373,United Kingdom
2018-12-21,0.0,0,0,0,0,United Kingdom
2018-12-22,0.0,0,0,0,0,United Kingdom
2018-12-23,0.0,0,0,0,0,United Kingdom
2018-12-24,0.0,0,0,0,0,United Kingdom
2018-12-25,0.0,0,0,0,0,United Kingdom
2018-12-26,0.0,0,0,0,0,United Kingdom
2018-12-27,0.0,0,0,0,0,United Kingdom
2018-12-28,0.0,0,0,0,0,United Kingdom
2018-12-29,0.0,0,0,0,0,United Kingdom
2018-12-30,0.0,0,0,0,0,United Kingdom
2018-12-31,0.0,0,0,0,0,United Kingdom
2019-01-01,4208.17,55,828,37,5463,United Kingdom
2019-01-02,38777.14,65,974,46,7721,United Kingdom
2019-01-03,6460.03,69,985,58,9297,United Kingdom
2019-01-04,4793.46,51,902,42,7343,United Kingdom
2019-01-05,0.0,0,0,0,0,United Kingdom
2019-01-06,3148.53,47,613,44,5183,United Kingdom
2019-01-07,7119.42,53,1038,29,7730,United Kingdom
2019-01-08,4879.01,76,928,53,7023,United Kingdom
2019-01-09,6922.64,54,1040,41,6703,United Kingdom
2019-01-10,5409.52,49,918,45,6155,United Kingdom
2019-01-11,5893.52,47,828,38,5760,United Kingdom
2019-01-12,0.0,0,0,0,0,United Kingdom
2019-01-13,1716.8,29,424,22,2465,United Kingdom
2019-01-14,9255.47,50,1157,43,9255,United Kingdom
2019-01-15,6118.65,47,857,30,4224,United Kingdom
2019-01-16,4116.79,35,875,27,5302,United Kingdom
2019-01-17,7773.77,47,923,30,5790,United Kingdom
2019-01-18,6386.24,59,945,46,6293,United Kingdom
2019-01-19,0.0,0,0,0,0,United Kingdom
2019-01-20,2500.36,29,565,26,3474,United Kingdom
2019-01-21,5821.14,53,765,39,5609,United Kingdom
2019-01-22,5942.99,76,841,61,7673,United Kingdom
2019-01-23,4622.12,65,692,51,4962,United Kingdom
2019-01-24,4632.49,77,795,53,7147,United Kingdom
2019-01-25,3460.14,93,598,37,4717,United Kingdom
2019-01-26,0.0,0,0,0,0,United Kingdom
2019-01-27,2283.88,25,488,22,2910,United Kingdom
2019-01-28,5479.62,76,769,55,5703,United Kingdom
2019-01-29,5005.34,77,819,56,7279,United Kingdom
2019-01-30,5693.39,67,783,54,6186,United Kingdom
2019-01-31,3142.72,45,540,40,4795,United Kingdom
2019-02-01,5735.95,68,677,36,5181,United Kingdom
2019-02-02,0.0,0,0,0,0,United Kingdom
2019-02-03,789.21,11,220,11,1197,United Kingdom
2019-02-04,4358.73,46,764,34,5199,United Kingdom
2019-02-05,5383.24,50,742,35,4993,United Kingdom
2019-02-06,3975.81,26,533,17,2851,United Kingdom
2019-02-07,3326.32,63,515,55,4311,United Kingdom
2019-02-08,5270.32,90,624,65,4439,United Kingdom
2019-02-09,0.0,0,0,0,0,United Kingdom
2019-02-10,1827.71,24,430,21,2121,United Kingdom
2019-02-11,3760.01,47,642,40,4304,United Kingdom
2019-02-12,6727.91,64,728,43,5853,United Kingdom
2019-02-13,3525.61,63,627,51,6632,United Kingdom
2019-02-14,7360.66,66,847,44,7676,United Kingdom
2019-02-15,2776.93,59,552,42,4376,United Kingdom
2019-02-16,0.0,0,0,0,0,United Kingdom
2019-02-17,2625.97,29,595,26,3337,United Kingdom
2019-02-18,15936.92,45,715,32,4942,United Kingdom
2019-02-19,5482.49,61,890,49,8091,United Kingdom
2019-02-20,6998.8,64,849,50,7487,United Kingdom
2019-02-21,4784.98,62,758,53,7472,United Kingdom
2019-02-22,3223.49,46,575,39,6669,United Kingdom
2019-02-23,0.0,0,0,0,0,United Kingdom
2019-02-24,2292.31,33,555,29,3469,United Kingdom
2019-02-25,7528.56,53,905,41,6357,United Kingdom
2019-02-26,4274.25,55,681,45,5380,United Kingdom
2019-02-27,3293.95,64,534,56,5729,United Kingdom
2019-02-28,5004.29,75,749,55,5884,United Kingdom
2019-03-01,2650.44,48,669,31,5172,United Kingdom
2019-03-02,0.0,0,0,0,0,United Kingdom
2019-03-03,2818.54,35,520,28,3363,United Kingdom
2019-03-04,10411.23,98,1040,67,7524,United Kingdom
2019-03-05,4985.97,56,858,38,7858,United Kingdom
2019-03-06,4386.36,75,743,47,6163,United Kingdom
2019-03-07,3126.54,81,590,64,5513,United Kingdom
2019-03-08,3439.14,59,573,43,5151,United Kingdom
2019-03-09,0.0,0,0,0,0,United Kingdom
2019-03-10,1298.61,16,411,15,1838,United Kingdom
2019-03-11,3046.37,51,604,41,4750,United Kingdom
2019-03-12,5462.33,57,671,39,5630,United Kingdom
2019-03-13,2656.97,54,546,44,5221,United Kingdom
2019-03-14,8006.4,80,1029,66,7858,United Kingdom
2019-03-15,16540.38,70,743,46,6224,United Kingdom
2019-03-16,0.0,0,0,0,0,United Kingdom
2019-03-17,4683.77,58,838,51,7162,United Kingdom
2019-03-18,2727.31,64,617,54,6486,United Kingdom
2019-03-19,9715.38,75,1129,36,8418,United Kingdom
2019-03-20,4343.36,80,748,51,6176,United Kingdom
2019-03-21,3997.78,85,757,61,8051,United Kingdom
2019-03-22,4854.42,57,756,41,5087,United Kingdom
2019-03-23,0.0,0,0,0,0,United Kingdom
2019-03-24,2079.23,43,506,40,3098,United Kingdom
2019-03-25,9027.83,74,847,45,6566,United Kingdom
2019-03-26,8698.99,92,964,50,9835,United Kingdom
2019-03-27,4801.09,113,871,70,8641,United Kingdom
2019-03-28,8669.01,87,867,65,7914,United Kingdom
2019-03-29,3944.65,99,715,61,6671,United Kingdom
2019-03-30,0.0,0,0,0,0,United Kingdom
2019-03-31,1743.44,22,526,18,2702,United Kingdom
2019-04-01,6153.14,69,894,49,7409,United Kingdom
2019-04-02,3563.16,86,702,46,5679,United Kingdom
2019-04-03,3583.35,87,717,40,5301,United Kingdom
2019-04-04,4192.59,72,785,57,5799,United Kingdom
2019-04-05,8535.55,129,830,65,7476,United Kingdom
2019-04-06,0.0,0,0,0,0,United Kingdom
2019-04-07,3003.35,36,617,31,3777,United Kingdom
2019-04-08,3055.15,65,712,52,7448,United Kingdom
2019-04-09,3512.6,78,632,62,7867,United Kingdom
2019-04-10,2730.21,76,638,61,6885,United Kingdom
2019-04-11,4727.24,99,723,82,9679,United Kingdom
2019-04-12,8303.27,52,693,35,6327,United Kingdom
2019-04-13,0.0,0,0,0,0,United Kingdom
