date,revenue,purchases,unique_streams,unique_customers,total_views
2018-01-24,6361.5,85,887,57,7627
2018-01-25,3762.24,83,752,57,7811
2018-01-26,23953.34,82,718,51,6177
2018-01-27,0.0,0,0,0,0
2018-01-28,3879.48,58,796,48,7441
2018-01-29,7386.31,82,841,51,6319
2018-01-30,4535.34,60,744,41,7070
2018-01-31,5941.7,150,949,45,7213
2018-02-01,4711.68,143,894,52,8175
2018-02-02,4312.59,147,710,53,5496
2018-02-03,0.0,0,0,0,0
2018-02-04,2266.32,35,558,29,3779
2018-02-05,6819.9,75,789,47,6603
2018-02-06,3590.02,58,670,52,6916
2018-02-07,4086.49,38,627,26,2952
2018-02-08,2882.61,101,554,50,4770
2018-02-09,3001.02,75,612,31,4144
2018-02-10,0.0,0,0,0,0
2018-02-11,3463.02,51,710,41,6430
2018-02-12,5631.92,55,571,37,6945
2018-02-13,7989.73,109,1095,57,9153
2018-02-14,3320.71,64,676,47,6879
2018-02-15,4973.52,91,788,77,8358
2018-02-16,7910.3,64,923,33,5483
2018-02-17,0.0,0,0,0,0
2018-02-18,3335.51,60,616,50,4323
2018-02-19,3725.94,86,695,45,8318
2018-02-20,4185.35,88,768,46,6564
2018-02-21,5172.09,123,836,51,6942
2018-02-22,5204.35,91,870,69,9488
2018-02-23,7543.23,65,704,31,4692
2018-02-24,0.0,0,0,0,0
2018-02-25,3866.53,58,739,50,5524
2018-02-26,4448.45,97,804,51,7019
2018-02-27,6875.47,137,976,75,7548
2018-02-28,6160.06,84,1024,60,10360
2018-03-01,7566.07,102,1009,76,11663
2018-03-02,5025.61,86,772,55,6409
2018-03-03,0.0,0,0,0,0
2018-03-04,6076.41,67,1083,49,8343
2018-03-05,9685.13,109,1068,73,8908
2018-03-06,6731.28,105,784,64,7071
2018-03-07,6341.31,84,934,58,8519
2018-03-08,5366.56,76,858,40,6628
2018-03-09,3741.59,54,661,33,5335
2018-03-10,0.0,0,0,0,0
2018-03-11,1753.33,25,447,22,2937
2018-03-12,7545.01,82,979,46,7001
2018-03-13,5133.87,94,831,79,7186
2018-03-14,4225.15,56,778,43,7847
2018-03-15,6409.53,97,847,74,9798
2018-03-16,48881.83,92,757,58,7171
2018-03-17,0.0,0,0,0,0
2018-03-18,3899.32,64,799,52,6804
2018-03-19,6465.59,104,896,72,8309
2018-03-20,52439.82,84,751,64,6511
2018-03-21,9188.77,117,871,86,8847
2018-03-22,19104.27,112,946,75,10032
2018-03-23,5325.32,86,884,58,7706
2018-03-24,0.0,0,0,0,0
2018-03-25,4638.05,60,904,56,9291
2018-03-26,8589.15,98,1035,45,9504
2018-03-27,7440.79,108,1011,82,10011
2018-03-28,7807.44,87,954,68,8936
2018-03-29,6670.67,113,927,75,9478
2018-03-30,0.0,0,0,0,0
2018-03-31,0.0,0,0,0,0
2018-04-01,0.0,0,0,0,0
2018-04-02,0.0,0,0,0,0
2018-04-03,3814.81,67,700,48,5592
2018-04-04,4874.27,72,829,49,7800
2018-04-05,7220.11,96,1023,72,11084
2018-04-06,3481.37,57,600,37,5412
2018-04-07,0.0,0,0,0,0
2018-04-08,3088.01,44,664,41,6216
2018-04-09,3459.62,86,610,68,6643
2018-04-10,4230.67,92,756,69,6700
2018-04-11,3403.64,64,625,51,7574
2018-04-12,24227.49,89,657,63,7503
2018-04-13,2527.76,48,588,39,5806
2018-04-14,0.0,0,0,0,0
2018-04-15,5526.06,57,752,44,6594
2018-04-16,15630.79,86,1257,48,11885
2018-04-17,13871.27,78,828,59,7961
2018-04-18,8342.37,86,740,54,8132
2018-04-19,17098.6,132,813,112,9953
2018-04-20,5860.58,70,667,47,6582
2018-04-21,0.0,0,0,0,0
2018-04-22,4320.61,50,731,44,6150
2018-04-23,8984.94,120,931,69,9331
2018-04-24,5600.42,106,850,77,11157
2018-04-25,5825.14,79,905,65,11262
2018-04-26,8504.41,105,1045,78,11333
2018-04-27,6525.57,94,755,62,6596
2018-04-28,0.0,0,0,0,0
2018-04-29,2613.22,43,534,39,4594
2018-04-30,0.0,0,0,0,0
2018-05-01,7848.91,101,827,70,7525
2018-05-02,7162.36,117,837,82,7883
2018-05-03,9685.42,128,979,89,13244
2018-05-04,4168.53,88,815,54,9525
2018-05-05,0.0,0,0,0,0
2018-05-06,5045.38,64,900,53,8466
2018-05-07,8606.73,120,953,86,9149
2018-05-08,6397.81,180,1006,62,10455
2018-05-09,4558.51,138,804,55,7808
2018-05-10,5501.94,95,784,69,7737
2018-05-11,3848.69,106,591,78,4721
2018-05-12,0.0,0,0,0,0
2018-05-13,4521.17,47,832,38,5787
2018-05-14,5273.34,146,850,61,7735
2018-05-15,6047.18,91,835,65,6861
2018-05-16,4524.52,80,726,61,6133
2018-05-17,6585.3,88,856,68,9251
2018-05-18,6168.8,125,859,56,6170
2018-05-19,0.0,0,0,0,0
2018-05-20,4552.46,53,685,41,7607
2018-05-21,5595.68,98,767,67,9953
2018-05-22,5351.57,156,834,66,8113
2018-05-23,13536.43,119,907,73,9808
2018-05-24,6216.05,101,936,80,11094
2018-05-25,5560.47,99,742,71,6843
2018-05-26,0.0,0,0,0,0
2018-05-27,2337.37,35,567,30,3490
2018-05-28,0.0,0,0,0,0
2018-05-29,4196.51,54,764,36,5710
2018-05-30,3586.59,54,678,40,4336
2018-05-31,7551.07,114,953,81,8746
2018-06-01,7471.77,142,898,32,5295
2018-06-02,0.0,0,0,0,0
2018-06-03,6899.7,76,970,63,10198
2018-06-04,9342.47,119,1171,85,12296
2018-06-05,12697.61,123,1072,66,9303
2018-06-06,4629.21,96,792,72,8994
2018-06-07,4435.4,100,612,84,6308
2018-06-08,14935.2,103,931,69,10034
2018-06-09,0.0,0,0,0,0
2018-06-10,4679.2,78,839,61,7252
2018-06-11,5739.14,75,952,61,8071
2018-06-12,7511.84,80,878,50,9008
2018-06-13,6176.31,93,961,74,10361
2018-06-14,73631.78,100,861,73,9408
2018-06-15,4055.21,67,608,52,5480
2018-06-16,0.0,0,0,0,0
2018-06-17,1556.47,27,333,26,2128
2018-06-18,5732.54,52,1005,40,8352
2018-06-19,4270.48,46,670,38,5129
2018-06-20,4546.45,70,764,54,7184
2018-06-21,9836.59,118,785,69,7852
2018-06-22,5618.13,52,796,38,5987
2018-06-23,0.0,0,0,0,0
2018-06-24,4090.03,62,757,52,5620
2018-06-25,6596.29,80,926,69,11096
2018-06-26,6176.3,89,872,59,10089
2018-06-27,7490.73,146,963,112,10769
2018-06-28,6295.95,99,916,83,11443
2018-06-29,3327.94,58,641,40,6350
2018-06-30,0.0,0,0,0,0
2018-07-01,2172.02,22,463,20,2597
2018-07-02,6493.32,127,818,84,11291
2018-07-03,4602.81,63,684,52,5988
2018-07-04,10075.09,98,926,58,8740
2018-07-05,6377.08,100,793,65,7965
2018-07-06,3925.69,54,612,33,4607
2018-07-07,0.0,0,0,0,0
2018-07-08,2014.57,29,497,24,2507
2018-07-09,5478.66,66,737,41,5770
2018-07-10,4775.65,63,749,41,5468
2018-07-11,6658.11,108,850,84,7427
2018-07-12,10440.52,104,847,64,9427
2018-07-13,4443.65,131,776,82,7614
2018-07-14,0.0,0,0,0,0
2018-07-15,3030.73,43,597,37,4905
2018-07-16,5304.31,67,785,59,8895
2018-07-17,4261.31,64,673,52,7098
2018-07-18,5813.15,85,756,67,7280
2018-07-19,7376.72,105,823,66,7578
2018-07-20,3506.67,55,671,42,6360
2018-07-21,0.0,0,0,0,0
2018-07-22,4014.97,59,746,52,7139
2018-07-23,7200.04,76,827,57,8830
2018-07-24,3657.8,83,669,61,6562
2018-07-25,4188.38,86,729,75,8520
2018-07-26,15013.74,101,912,80,8671
2018-07-27,3207.05,70,517,51,4623
2018-07-28,0.0,0,0,0,0
2018-07-29,2680.6,39,583,30,4075
2018-07-30,6473.57,73,706,50,7038
2018-07-31,8197.45,85,874,61,7336
2018-08-01,6182.15,64,856,55,7858
2018-08-02,3693.59,73,765,57,7927
2018-08-03,1954.9,59,421,42,4430
2018-08-04,0.0,0,0,0,0
2018-08-05,2467.64,47,570,41,4593
2018-08-06,2716.69,77,641,49,6506
2018-08-07,7831.57,56,951,38,7376
2018-08-08,9401.75,54,646,39,4844
2018-08-09,8235.6,159,953,83,9820
2018-08-10,6006.45,107,800,45,8227
2018-08-11,0.0,0,0,0,0
2018-08-12,3223.67,64,623,52,6460
2018-08-13,4051.1,73,702,38,6203
2018-08-14,3209.91,67,644,57,6937
2018-08-15,5288.34,63,960,48,8950
2018-08-16,5681.19,84,803,62,8834
2018-08-17,4725.41,66,803,52,7972
2018-08-18,0.0,0,0,0,0
2018-08-19,3977.07,64,780,53,8654
2018-08-20,3570.85,62,729,46,7931
2018-08-21,3714.43,74,703,62,7936
2018-08-22,6393.37,104,872,72,10010
2018-08-23,7319.93,101,852,71,9864
2018-08-24,26758.1,47,700,29,5182
2018-08-25,0.0,0,0,0,0
2018-08-26,2277.05,40,484,36,5019
2018-08-27,0.0,0,0,0,0
2018-08-28,10693.3,75,946,53,8768
2018-08-29,4224.5,84,680,72,5321
2018-08-30,7868.27,102,865,79,9976
2018-08-31,4100.27,78,666,60,5971
2018-09-01,0.0,0,0,0,0
2018-09-02,2249.77,36,515,35,4575
2018-09-03,6494.47,72,874,45,7873
2018-09-04,3945.66,55,721,48,6772
2018-09-05,3867.57,64,701,46,6642
2018-09-06,7331.59,102,882,74,9556
2018-09-07,3832.59,51,633,41,5907
2018-09-08,0.0,0,0,0,0
2018-09-09,3724.4,49,729,46,6377
2018-09-10,7919.66,111,999,69,9702
2018-09-11,4158.52,67,767,58,7572
2018-09-12,4343.77,93,831,61,9413
2018-09-13,31170.11,119,934,73,9786
2018-09-14,4645.99,82,746,62,6826
2018-09-15,0.0,0,0,0,0
2018-09-16,4946.72,60,985,54,9054
2018-09-17,9523.28,101,972,64,10775
2018-09-18,7543.92,143,1043,104,16888
2018-09-19,5612.08,104,703,41,8968
2018-09-20,5821.68,100,950,74,13371
2018-09-21,9650.47,87,822,49,9829
2018-09-22,0.0,0,0,0,0
2018-09-23,4216.53,76,757,59,8382
2018-09-24,39672.51,111,1020,73,15317
2018-09-25,10553.63,172,1250,122,16448
2018-09-26,7802.18,133,989,89,12871
2018-09-27,17364.58,123,991,91,14772
2018-09-28,7604.88,89,940,68,9772
2018-09-29,0.0,0,0,0,0
2018-09-30,7090.76,90,972,70,12933
2018-10-01,7396.85,101,1011,80,13647
2018-10-02,67786.19,206,1185,142,18267
2018-10-03,4336.31,71,742,62,9901
2018-10-04,14457.77,160,1384,116,18500
2018-10-05,7477.44,101,1011,74,11962
2018-10-06,0.0,0,0,0,0
2018-10-07,5280.82,71,897,59,8901
2018-10-08,7661.74,126,1155,94,14341
2018-10-09,8341.97,145,1150,116,15135
2018-10-10,15494.02,103,1044,84,13332
2018-10-11,7145.24,122,1027,90,14476
2018-10-12,28934.13,138,1087,86,13301
2018-10-13,0.0,0,0,0,0
2018-10-14,7445.36,80,1124,63,12791
2018-10-15,11538.92,179,1236,117,12730
2018-10-16,8894.04,99,1099,72,12291
2018-10-17,9462.68,121,1091,93,13244
2018-10-18,8576.93,120,1076,90,12131
2018-10-19,11310.57,144,1127,95,10966
2018-10-20,0.0,0,0,0,0
2018-10-21,6860.59,86,1047,74,11165
2018-10-22,6031.78,106,1021,78,9933
2018-10-23,8091.02,133,1165,109,14937
2018-10-24,6293.77,81,967,68,10342
2018-10-25,15098.41,114,923,64,8324
2018-10-26,6916.34,90,973,65,11838
2018-10-27,0.0,0,0,0,0
2018-10-28,7329.13,88,1150,79,11943
2018-10-29,12450.75,108,1162,55,9708
2018-10-30,8412.69,179,1116,106,12913
2018-10-31,7356.65,146,1072,88,11235
2018-11-01,13422.56,219,1414,138,19152
2018-11-02,7694.41,149,1090,69,11337
2018-11-03,0.0,0,0,0,0
2018-11-04,7423.97,90,1107,75,13687
2018-11-05,23367.64,124,1240,81,13607
2018-11-06,11933.97,152,1117,108,16522
2018-11-07,12668.81,152,1485,113,16960
2018-11-08,12461.76,192,1302,137,16776
2018-11-09,12619.04,120,1280,87,13736
2018-11-10,0.0,0,0,0,0
2018-11-11,8136.57,94,1227,76,11001
2018-11-12,14129.84,133,1426,86,16469
2018-11-13,12124.43,154,1376,133,19011
2018-11-14,10756.04,134,1274,100,14683
2018-11-15,10750.82,122,1218,100,13995
2018-11-16,9839.03,150,1146,120,13470
2018-11-17,0.0,0,0,0,0
2018-11-18,8690.62,102,1287,90,14048
2018-11-19,12627.57,105,1341,84,13739
2018-11-20,13878.98,174,1440,121,18181
2018-11-21,13996.27,188,1359,141,15043
2018-11-22,11666.84,181,1247,148,18816
2018-11-23,10217.06,102,1170,75,13110
2018-11-24,0.0,0,0,0,0
2018-11-25,7557.13,104,1135,83,9886
2018-11-26,16336.28,125,1534,91,18168
2018-11-27,7818.21,170,977,140,15081
2018-11-28,13393.22,143,1351,98,17705
2018-11-29,7365.88,167,934,117,16818
2018-11-30,11592.89,108,1156,55,12076
2018-12-01,0.0,0,0,0,0
2018-12-02,8073.27,95,1151,76,13153
2018-12-03,18182.79,133,1479,90,17539
2018-12-04,125923.84,111,1295,70,14549
2018-12-05,10862.61,148,1229,112,17549
2018-12-06,15354.8,183,1301,122,15379
2018-12-07,12755.74,91,1270,54,11634
2018-12-08,0.0,0,0,0,0
2018-12-09,3780.25,51,801,42,5529
2018-12-10,12359.68,84,1172,61,10711
2018-12-11,8183.39,144,1030,104,11330
2018-12-12,4789.26,98,773,86,8497
2018-12-13,5913.9,150,937,117,12509
2018-12-14,18111.76,72,1372,52,10237
2018-12-15,0.0,0,0,0,0
2018-12-16,1562.87,25,392,17,2477
2018-12-17,8079.29,96,958,59,7273
2018-12-18,12388.74,66,832,31,5284
2018-12-19,1962.44,22,249,17,1834
2018-12-20,3900.08,38,795,23,4191
2018-12-21,0.0,0,0,0,0
2018-12-22,0.0,0,0,0,0
2018-12-23,0.0,0,0,0,0
2018-12-24,0.0,0,0,0,0
2018-12-25,0.0,0,0,0,0
2018-12-26,0.0,0,0,0,0
2018-12-27,0.0,0,0,0,0
2018-12-28,0.0,0,0,0,0
2018-12-29,0.0,0,0,0,0
2018-12-30,0.0,0,0,0,0
2018-12-31,0.0,0,0,0,0
2019-01-01,4305.67,57,833,38,5605
2019-01-02,39216.39,76,1023,56,8456
2019-01-03,7938.51,78,1020,66,10225
2019-01-04,5871.85,58,1035,49,10141
2019-01-05,0.0,0,0,0,0
2019-01-06,3427.24,51,651,48,5817
2019-01-07,7817.88,61,1110,35,9050
2019-01-08,5209.85,84,956,61,7912
2019-01-09,7580.08,62,1084,49,7736
2019-01-10,5656.12,51,954,47,6855
2019-01-11,6542.75,56,907,46,8189
2019-01-12,0.0,0,0,0,0
2019-01-13,1716.8,29,424,22,2465
2019-01-14,9735.1,55,1214,48,10399
2019-01-15,6431.49,51,900,34,5160
2019-01-16,4713.9,43,955,35,7390
2019-01-17,8136.31,54,963,37,6823
2019-01-18,6754.63,64,989,51,7692
2019-01-19,0.0,0,0,0,0
2019-01-20,2560.76,30,573,27,3564
2019-01-21,6660.71,61,848,46,7415
2019-01-22,6584.9,86,893,71,9127
2019-01-23,5200.55,71,775,57,6763
2019-01-24,7491.11,88,898,63,8839
2019-01-25,3990.18,100,662,44,5697
2019-01-26,0.0,0,0,0,0
2019-01-27,2283.88,25,488,22,2910
2019-01-28,6184.73,85,848,64,7324
2019-01-29,5551.06,86,849,65,8342
2019-01-30,5932.24,74,802,59,6699
2019-01-31,3808.35,53,604,48,5595
2019-02-01,6294.78,75,760,42,6113
2019-02-02,0.0,0,0,0,0
2019-02-03,789.21,11,220,11,1197
2019-02-04,5338.0,53,811,39,5770
2019-02-05,5589.24,58,771,42,5489
2019-02-06,4443.2,31,604,22,4140
2019-02-07,3430.56,66,532,58,4650
2019-02-08,5580.34,95,665,70,5081
2019-02-09,0.0,0,0,0,0
2019-02-10,1827.71,24,430,21,2121
2019-02-11,4370.94,55,721,46,6218
2019-02-12,7372.04,70,816,48,7549
2019-02-13,3889.37,69,699,56,8079
2019-02-14,7804.41,73,878,51,8486
2019-02-15,3076.46,67,613,49,5208
2019-02-16,0.0,0,0,0,0
2019-02-17,2625.97,29,595,26,3337
2019-02-18,17559.77,59,818,41,8102
2019-02-19,5552.99,64,900,52,8606
2019-02-20,7187.94,68,862,53,8021
2019-02-21,5059.58,66,784,57,8101
2019-02-22,3507.39,51,596,44,7218
2019-02-23,0.0,0,0,0,0
2019-02-24,2350.56,35,566,31,3572
2019-02-25,7935.36,61,931,49,7277
2019-02-26,7252.97,67,845,52,8000
2019-02-27,3446.21,67,550,58,6048
2019-02-28,5646.14,85,814,62,7579
2019-03-01,3237.08,56,723,38,6471
2019-03-02,0.0,0,0,0,0
2019-03-03,2818.54,35,520,28,3363
2019-03-04,10736.84,107,1058,74,7851
2019-03-05,5312.88,61,888,43,8877
2019-03-06,4789.53,79,778,51,7137
2019-03-07,3721.95,90,678,69,7184
2019-03-08,10474.44,66,615,47,5860
2019-03-09,0.0,0,0,0,0
2019-03-10,1352.43,17,419,16,1998
2019-03-11,3792.92,61,688,49,6119
2019-03-12,11126.98,65,728,45,6912
2019-03-13,3152.81,59,588,49,5750
2019-03-14,8624.77,88,1081,74,9426
2019-03-15,17007.13,76,788,51,7196
2019-03-16,0.0,0,0,0,0
2019-03-17,5002.15,64,864,57,7694
2019-03-18,2921.81,69,637,58,6716
2019-03-19,10358.12,83,1159,42,9829
2019-03-20,4765.24,88,793,58,7470
2019-03-21,4521.87,95,795,69,9075
2019-03-22,5578.35,67,824,51,6950
2019-03-23,0.0,0,0,0,0
2019-03-24,2168.32,46,515,43,3159
2019-03-25,9691.27,85,904,53,8582
2019-03-26,9098.14,95,990,51,11440
2019-03-27,5105.92,118,902,75,9429
2019-03-28,9089.31,94,895,71,8879
2019-03-29,4635.28,107,765,68,7461
2019-03-30,0.0,0,0,0,0
2019-03-31,1743.44,22,526,18,2702
2019-04-01,18778.55,81,921,57,8163
2019-04-02,6218.0,96,751,54,7070
2019-04-03,3761.21,89,756,42,5843
2019-04-04,4667.92,81,844,65,7073
2019-04-05,8977.93,136,884,72,8731
2019-04-06,0.0,0,0,0,0
2019-04-07,3096.28,37,637,32,3967
2019-04-08,3606.95,74,778,60,8754
2019-04-09,3689.03,81,666,63,8336
2019-04-10,2990.08,79,675,64,7467
2019-04-11,5470.62,109,785,90,10977
2019-04-12,8706.97,57,719,40,6915
2019-04-13,0.0,0,0,0,0
2019-04-14,2703.21,44,620,39,5433
2019-04-15,12307.28,96,1286,67,10628
2019-04-16,7111.05,75,991,64,9112
2019-04-17,3237.19,89,603,67,7675
2019-04-18,9523.69,112,967,69,9684
2019-04-19,0.0,0,0,0,0
2019-04-20,0.0,0,0,0,0
2019-04-21,0.0,0,0,0,0
2019-04-22,0.0,0,0,0,0
2019-04-23,8505.75,86,933,62,9255
2019-04-24,4261.3,92,801,64,7806
2019-04-25,4699.64,101,755,60,7867
2019-04-26,0.0,0,0,0,0
2019-04-27,0.0,0,0,0,0
2019-04-28,1291.71,21,361,18,2566
2019-04-29,0.0,0,0,0,0
2019-04-30,28553.94,126,796,62,7462
2019-05-01,3580.09,77,702,62,7835
2019-05-02,6239.84,110,917,93,10021
2019-05-03,7272.64,113,1037,69,10684
2019-05-04,0.0,0,0,0,0
2019-05-05,4212.25,67,742,58,7529
2019-05-06,8733.38,84,866,63,9410
2019-05-07,15430.3,116,941,74,11674
2019-05-08,5951.35,97,848,66,10249
2019-05-09,8519.63,106,961,84,12526
2019-05-10,4924.55,77,782,52,8641
2019-05-11,0.0,0,0,0,0
2019-05-12,2264.46,31,575,29,3549
2019-05-13,20897.62,87,799,54,9484
2019-05-14,10099.75,121,910,81,11027
2019-05-15,5266.42,89,729,66,8772
2019-05-16,7744.1,124,904,96,11836
2019-05-17,3937.95,90,616,71,8050
2019-05-18,0.0,0,0,0,0
2019-05-19,4553.75,62,881,57,9354
2019-05-20,12579.69,122,850,74,8562
2019-05-21,7289.49,101,933,76,8548
2019-05-22,4546.58,91,715,60,7272
2019-05-23,4279.93,78,558,58,6209
2019-05-24,5156.39,85,660,63,6659
2019-05-25,0.0,0,0,0,0
2019-05-26,1676.24,25,443,20,2612
2019-05-27,0.0,0,0,0,0
2019-05-28,5054.26,62,743,53,6632
2019-05-29,5831.2,65,826,55,5626
2019-05-30,7058.76,86,879,54,7860
2019-05-31,3255.11,53,564,40,4771
2019-06-01,0.0,0,0,0,0
2019-06-02,4798.21,70,758,62,8912
2019-06-03,4717.05,73,748,66,7080
2019-06-04,6722.14,98,999,83,9884
2019-06-05,10748.59,113,1051,75,12264
2019-06-06,7663.06,110,1003,88,11102
2019-06-07,44471.12,92,670,51,5859
2019-06-08,0.0,0,0,0,0
2019-06-09,3007.48,40,649,38,4752
2019-06-10,5994.97,87,846,72,8045
2019-06-11,6430.4,66,880,45,7082
2019-06-12,7424.28,90,927,48,8910
2019-06-13,5470.68,107,869,82,9689
2019-06-14,3110.39,62,586,39,6648
2019-06-15,0.0,0,0,0,0
2019-06-16,3435.06,64,724,57,6975
2019-06-17,15127.2,102,1009,64,9447
2019-06-18,6697.69,85,874,63,7355
2019-06-19,3588.36,68,652,57,7119
2019-06-20,6402.99,90,971,74,10488
2019-06-21,15245.14,63,652,45,6401
2019-06-22,0.0,0,0,0,0
2019-06-23,2565.32,36,557,30,2724
2019-06-24,4653.83,61,724,42,5140
2019-06-25,5245.46,84,647,48,6770
2019-06-26,4902.32,67,999,44,6419
2019-06-27,5477.33,80,944,59,9425
2019-06-28,3535.5,70,607,41,5518
2019-06-29,0.0,0,0,0,0
2019-06-30,1741.25,27,423,24,2508
2019-07-01,9351.79,64,1105,40,9273
2019-07-02,9440.89,88,1156,67,10172
2019-07-03,5131.33,77,1004,65,9253
2019-07-04,6630.28,93,1061,79,10582
2019-07-05,7440.4,93,929,52,8108
2019-07-06,0.0,0,0,0,0
2019-07-07,1955.75,29,604,20,2813
2019-07-08,4437.95,68,935,49,8208
2019-07-09,6594.27,66,983,52,7312
2019-07-10,15972.05,66,948,53,8272
2019-07-11,5593.29,91,980,70,9837
2019-07-12,4772.52,62,848,41,4880
2019-07-13,0.0,0,0,0,0
2019-07-14,3301.89,53,750,45,6268
2019-07-15,27441.71,107,1207,56,10136
2019-07-16,5365.59,88,860,71,11875
2019-07-17,10965.0,75,1059,51,9593
2019-07-18,6683.36,106,917,74,10760
2019-07-19,4165.59,58,888,42,6892
2019-07-20,0.0,0,0,0,0
2019-07-21,3171.19,63,654,55,7168
2019-07-22,7891.96,70,1023,53,9329
2019-07-23,4165.78,89,792,57,7608
2019-07-24,3919.98,86,784,40,7446
2019-07-25,5013.51,125,884,90,10391
2019-07-26,3616.49,70,688,60,7546
2019-07-27,0.0,0,0,0,0
2019-07-28,3129.53,43,789,37,6979
2019-07-29,4366.65,51,770,38,7009
2019-07-30,16369.71,61,862,53,8489
2019-07-31,4927.45,84,871,70,9451
